path,size_bytes,sha256,outcome,doc_id,community,category,pre_screen_doc_type,pre_screen_confidence,pre_screen_reasoning,existing_id,error
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - August Meadows\AM STL MCDF.pdf",376524,278a2dad3df4c0efb417cd38115b2bdc4930c99668e6b855d5cfc24485134334,dry_run_would_upload,,,,vendor_contract,high,"This is a CenterPoint Energy street lighting service master contact form for August Meadows Section 1, establishing a utility service account for community street lighting infrastructure.",,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - August Meadows\Access Production and Copying Policy.pdf",214258,01fc88a5e799c006e7587dacd8bf4ed8ab2400c8494c0735a9f1380aac816034,dry_run_would_upload,,,,policies,high,"This is an officially recorded Access, Production, and Copying Policy adopted by the August Meadows Community Association Board, establishing procedures for record access and costs in compliance with Texas Property Code Section 209.005.",,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - August Meadows\August Meadows Projected budget.pdf",108405,7b3f5fbf47e0c89f75666dbd9e5fa4c91e2d08f08dc40d43ac42be152afba20b,skipped_already_in_trusted,,,,,,,54aba3f4-00a5-42a1-bd4c-955f1c9cbdc2,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - August Meadows\August Meadows Projected budget.xlsx",59978,,skipped_filetype_unsupported,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - August Meadows\August Meadows Section One.pdf",784004,6ddb2c450f01b8bead8381daefe8b7cf88302e7331384de292bd6f532ccba372,skipped_already_in_trusted,,,,,,,eb3f0b30-8367-456a-a25d-3792d252ffd0,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - August Meadows\CCRs (August Meadows) 11.14.2024.pdf",648461,1e6c5219e6d5d7e125e95843fb5a286cc5caac3053e876689abfaf0e79e36eae,skipped_already_in_trusted,,,,,,,027fe696-7f98-4223-9236-4798f7e0a1e1,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - August Meadows\Certificate of Formation.pdf",256906,99b6b8cd3fa298e8c4a117908ae42f90b3babecba8f34c235c8b102f0511224c,skipped_already_in_trusted,,,,,,,cf7dc053-83d6-462a-845b-2b86c101c30b,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - August Meadows\Declaration.pdf",2639528,15d15260dbf4aab2af7e8541fe730ca6aa892be71a764dfb91a688b1b0aae144,skipped_already_in_trusted,,,,,,,8e31062b-a590-413c-bc5d-1979848d23ad,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - August Meadows\Dedicatory Instruments Enforcement Board Hearing and Fine Policy.pdf",342019,0989cea3c02d22c6a47b59ed836d5203ca66d3ef013b850717c6678ef513b399,skipped_already_in_trusted,,,,,,,788f4e21-19a3-4016-9a20-ae72e224d432,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - August Meadows\Document Retention Policy.pdf",106207,682328e5ac281813b0d87efa81fb5ad825f66d3217dcbce190f8ae44c5ebd02c,skipped_already_in_trusted,,,,,,,b936b680-eb35-47f2-a4f6-dc70580b3f34,
