path,size_bytes,sha256,outcome,doc_id,community,category,pre_screen_doc_type,pre_screen_confidence,pre_screen_reasoning,existing_id,email_subject,email_from,email_date,error
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\Claim Notes.pdf",453183,6f60c6bc047f99cd1799c1b71b63d2a8fece9a48245629e35d7af42ff69c825a,skipped_not_relevant,,,,third_party_insurance_claim,high,"This is a Root Insurance adjuster's claim notes for an uninsured policyholder's claim—a third party's internal claim file unrelated to any Waterview Estates HOA matter; folder path indicates it belongs to a 2024 Tennis Court Claim, but this document addresses Root Insurance's own unrelated claim 23WDR9TX with no connection to Waterview Estates.",,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\FW_ Video of Accident .msg",2413,5e2b85857e19e3ada40a8255fa92990bb3b00cb48b683a22180f6f3c11cb918b,dry_run_would_upload,,,,claim_evidence,high,Email forwarding a video of an accident (Video_88768589.mp4) to support the 2024 Tennis Court Claim folder; this is third-party evidence documentation for an HOA liability/damage matter.,,FW: Video of Accident,Ashleigh Pace,"Thu, 15 Feb 2024 22:35:18 GMT",
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0814 - Copy.jpg",9040810,,skipped_filetype_irrelevant,,,,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0814.jpg",9040810,,skipped_filetype_irrelevant,,,,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0815.jpg",9358893,,skipped_filetype_irrelevant,,,,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0816.jpg",7326291,,skipped_filetype_irrelevant,,,,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0817.jpg",5667262,,skipped_filetype_irrelevant,,,,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0818.jpg",4544519,,skipped_filetype_irrelevant,,,,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0819.jpg",7238984,,skipped_filetype_irrelevant,,,,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0820.jpg",5694299,,skipped_filetype_irrelevant,,,,,,,,,,,
